(-88.4902,41.2096)
(-88.4902,41.2096)
(-88.25,41.9)
(-88.25,41.9)
(-88.43,41.08)
(-88.43,41.08)
(-88.3101,41.9132)
(-88.3101,41.9132)
(-88.088,42.415)
(-88.0546,42.4155)
(-88.1,41.98)
(-88.1,41.98)
(-87.9643,41.4686)
(-87.9643,41.4686)
(-87.7605,41.9531)
(-87.7605,41.9531)
(-88.3095,41.8839)
(-88.3095,41.8839)
(-87.7318,41.0238)
(-87.7089,41.0238)
(-88.35,41.68)
(-88.35,41.68)
(-88.4919,41.2063)
(-88.4919,41.2069)
(-89.5564,41.7225)
(-89.5564,41.7225)
(-88.45,41.63)
(-88.45,41.63)
(-88.305,42.4799)
(-88.305,42.4799)
(-88.466,42.3203)
(-88.4365,42.3203)
(-89.1314,42.2711)
(-89.0231,42.2711)
(-88.455,41.6212)
(-88.2571,41.5888)
(-87.7673,42.1321)
(-87.7489,42.137)
(-87.6938,41.5426)
(-87.668,41.5426)
(-87.6558,41.0537)
(-87.5271,41.0538)
(-87.724,42.0087)
(-87.6628,42.0168)
(-88.4718,41.1959)
(-88.4718,41.1959)
(-89.0942,41.9721)
(-89.0942,41.9721)
(-88.4106,40.7511)
(-88.4106,40.7511)
(-88.085,41.6042)
(-88.085,41.6042)
(-87.9331,42.2006)
(-87.9331,42.2006)
(-88.4177,41.2366)
(-88.4177,41.2366)
(-88.2571,41.5888)
(-88.1865,41.5658)
(-88.6316,41.6487)
(-88.6072,41.6487)
(-87.6947,41.4923)
(-87.6495,41.4924)
(-87.8975,41.121)
(-87.8238,41.121)
(-87.7355,41.9573)
(-87.7203,41.9613)
(-88.4523,41.1971)
(-88.4523,41.1971)
(-89.1247,41.35)
(-89.1247,41.35)
(-87.75,41.78)
(-87.75,41.78)
(-88.08,42.03)
(-88.08,42.03)
(-88.2777,42.1252)
(-88.2456,42.1252)
(-88.2653,41.1804)
(-88.2653,41.1804)
(-88.0375,41.5426)
(-88.0375,41.5426)
(-88.5454,41.6658)
(-88.527,41.6658)
(-89.0135,41.319)
(-88.9972,41.319)
(-87.8602,41.079)
(-87.8602,41.079)
(-87.69,41.98)
(-87.69,41.98)
(-88.4359,41.1819)
(-88.4359,41.1819)
(-88.98,42.29)
(-88.98,42.29)
(-87.659,41.4686)
(-87.6079,41.4686)
(-87.713,42.0459)
(-87.6732,42.0459)
(-88.1018,42.1556)
(-88.1018,42.1556)
(-88.6522,41.7064)
(-88.6518,41.7113)
(-88.2238,42.0281)
(-88.2238,42.0281)
(-88.8042,41.6156)
(-88.7888,41.6156)
(-87.9512,41.8999)
(-87.9314,41.8999)
(-87.7948,41.0126)
(-87.7948,41.0126)
(-87.7112,41.9812)
(-87.7112,41.9812)
(-88.4351,41.1651)
(-88.4351,41.1651)
(-88.86,42.26)
(-88.86,42.26)
(-87.9989,40.8215)
(-87.9989,40.8215)
(-88.0083,41.759)
(-88.0083,41.759)
(-88.1833,42.3325)
(-88.1833,42.3325)
(-88.68,41.7168)
(-88.68,41.7168)
(-88.2714,41.6478)
(-88.2714,41.6478)
(-88.8828,41.7688)
(-88.8665,41.7688)
(-87.9625,41.7992)
(-87.9278,41.8054)
(-87.8955,41.1761)
(-87.8583,41.1761)
(-87.8287,41.8348)
(-87.8046,41.8348)
(-88.422,41.1548)
(-88.422,41.1548)
(-88.8591,41.1312)
(-88.8009,41.1312)
(-89.1332,42.2495)
(-89.1073,42.262)
(-88.1358,41.558)
(-88.0893,41.5556)
(-87.9584,42.1529)
(-87.9584,42.1529)
(-88.6903,41.6341)
(-88.6695,41.6341)
(-88.0874,41.5671)
(-88.0874,41.5671)
(-88.161,41.5223)
(-88.0541,41.5223)
(-87.7868,41.618)
(-87.6931,41.6182)
(-87.9772,41.134)
(-87.9608,41.134)
(-87.803,41.9422)
(-87.803,41.9422)
(-88.5214,41.2279)
(-88.5076,41.2213)
(-88.4658,41.8284)
(-88.4658,41.8284)
(-89.022,42.2806)
(-88.9403,42.3436)
(-88.1838,41.566)
(-88.1256,41.5371)
(-88.0332,42.3506)
(-88.0332,42.3506)
(-88.7668,41.9297)
(-88.7279,41.9297)
(-87.7128,41.4826)
(-87.7128,41.4841)
(-87.6638,41.2431)
(-87.6368,41.2369)
(-87.6818,41.6172)
(-87.5254,41.6172)
(-87.8177,41.0811)
(-87.8042,41.0811)
(-87.7964,41.8849)
(-87.7757,41.8849)
(-88.42,41.43)
(-88.42,41.43)
(-88.42,41.37)
(-88.42,41.37)
(-88.9403,42.3436)
(-88.8891,42.3692)
(-88.1335,41.5151)
(-88.1335,41.5151)
(-88.1736,42.1762)
(-88.1736,42.1762)
(-88.0166,41.8851)
(-87.9803,41.9004)
(-87.6782,41.4869)
(-87.6782,41.4869)
(-89.15,41.35)
(-89.15,41.35)
(-88.0594,41.5906)
(-88.0342,41.5906)
(-87.7719,40.7825)
(-87.6846,40.7738)
(-87.6453,41.9508)
(-87.6453,41.9508)
(-88.9415,41.795)
(-88.9415,41.795)
(-88.2412,41.9419)
(-88.2412,41.9419)
(-88.0527,41.8595)
(-88.0527,41.8595)
(-88.4812,41.7576)
(-88.4812,41.7576)
(-88.9266,42.0962)
(-88.8101,42.1244)
(-87.8684,41.4986)
(-87.8292,41.4986)
(-87.7017,41.4693)
(-87.6665,41.4801)
(-89.0738,41.2949)
(-89.0513,41.2949)
(-88.1064,41.6382)
(-88.0723,41.6382)
(-87.8684,40.7712)
(-87.8406,40.7704)
(-87.6467,41.9653)
(-87.6467,41.9653)
(-88.97,41.93)
(-88.97,41.93)
(-88.1974,41.6382)
(-88.1974,41.6382)
(-87.9,41.98)
(-87.9,41.98)
(-89.5866,42.1288)
(-89.5731,42.1318)
(-88.8479,42.0913)
(-88.8479,42.0913)
(-87.7221,40.9916)
(-87.7221,40.9916)
(-87.6529,41.4804)
(-87.6163,41.4804)
(-89.147,41.3333)
(-89.0826,41.3333)
(-87.9514,41.6)
(-87.9255,41.6)
(-88.2434,42.4441)
(-88.2171,42.4457)
(-87.7024,41.9284)
(-87.6921,41.9285)
(-88.51,41.63)
(-88.51,41.63)
(-88.4328,41.3828)
(-88.4328,41.3828)
(-87.6085,41.5688)
(-87.6085,41.5688)
(-88.1895,42.475)
(-88.1691,42.4954)
(-88.6548,42.1808)
(-88.5587,42.2233)
(-87.8393,41.8479)
(-87.8393,41.8479)
(-87.7773,41.7373)
(-87.7773,41.7373)
(-89.0876,41.2987)
(-89.0844,41.2954)
(-88.221,41.6098)
(-88.1926,41.6098)
(-88.4613,41.6413)
(-88.4361,41.6416)
(-87.631,41.9687)
(-87.631,41.9687)
